[16:02:15] [Server thread/INFO]: Starting minecraft server version 1.8
[16:02:17] [Server thread/INFO]: Loading properties
[16:02:17] [Server thread/INFO]: Default game type: ADVENTURE
[16:02:17] [Server thread/INFO]: Generating keypair
[16:02:18] [Server thread/INFO]: Starting Minecraft server on *:25565
[16:02:18] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[16:02:18] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[16:02:18] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[16:02:18] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[16:02:20] [Server thread/INFO]: Preparing level "torneo"
[16:02:20] [Server thread/INFO]: Preparing start region for level 0
[16:02:21] [Server thread/INFO]: Preparing spawn area: 76%
[16:02:21] [Server thread/INFO]: Done (2.513s)! For help, type "help" or "?"
[16:03:08] [Server thread/INFO]: [@: Set the time to 1000]
[16:03:08] [Server thread/INFO]: [@: Changing to clear weather]
[16:03:55] [Server thread/INFO]: ToBiik_[/127.135.168.66:51357] logged in with entity id 52 at (48.69999998807907, 12.477187068523845, 1.2331433513482477)
[16:03:55] [Server thread/INFO]: ToBiik_ joined the game
[16:03:55] [Server thread/INFO]: Crissmdz[/127.57.200.179:41769] logged in with entity id 53 at (37.5, 4.0, 0.5)
[16:03:55] [Server thread/INFO]: Crissmdz joined the game
[16:04:33] [Server thread/INFO]: [@: Set the time to 1000]
[16:04:33] [Server thread/INFO]: [@: Changing to clear weather]
[16:05:01] [Server thread/INFO]: Crissmdz tried to swim in lava
[16:05:24] [Server thread/INFO]: [@: Set the time to 1000]
[16:05:24] [Server thread/INFO]: [@: Changing to clear weather]
[16:05:32] [Server thread/INFO]: Crissmdz tried to swim in lava
[16:05:34] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:34] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
[16:05:34] [Server thread/INFO]: [Crissmdz: Set Crissmdz's game mode to Spectator Mode]
